word,example
ab,1. Die Fahrt kostet ab Hamburg 200 Euro. 2. Ab nächster Woche bleibt unser Geschäft samstags geschlossen. 3. Mein Bruder besucht uns ab und zu.
"abbiegen, biegt ab, bog ab, ist abgebogen",An der nächsten Kreuzung müssen Sie links abbiegen.
"die Abbildung, -en","Auf der Abbildung sehen Sie, wie man das Gerät einschaltet."
"das Abenteuer, -",1. Unser Urlaub war ein tolles Abenteuer. 2. Die Kinder lieben Abenteuergeschichten.
aber,"1. Heute kann ich nicht, aber morgen ganz bestimmt. 2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren. 3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden. 4. Es war sehr schön. Jetzt muss ich aber gehen. 5. Ich würde gerne kommen, aber es geht leider nicht. 6. Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern. 7. Du spielst aber gut Klavier."
"abfahren, fährt ab, fuhr ab, ist abgefahren",Unser Zug ist pünktlich abgefahren.
"die Abfahrt, -en",Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.
"der Abfall, ¨-e",Werfen Sie den Bioabfall bitte nicht zum normalen Müll.
"der Abfalleimer, -",Wirf das bitte in den Abfalleimer!
Abgase (Pl.),Abgase aus Industrie und Haushalten verschmutzen die Luft.
"abgeben, gibt ab, gab ab, hat abgegeben",Ich soll dieses Päckchen bei Herrn Müller abgeben.
"abhängen, hängt ab, hing ab, hat abgehangen (von)","Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab."
abhängig,Gregor ist finanziell von seinen Eltern abhängig.
"abheben, hebt ab, hob ab, hat abgehoben",Für die Reise habe ich 500 Euro von meinem Konto abgehoben.
"abholen, holt ab, holte ab, hat abgeholt",Meine Freundin hat mich vom Bahnhof abgeholt.
"abschreiben, schreibt ab, schrieb ab, hat abgeschrieben",Er hat die Hausaufgaben von mir abgeschrieben.
"das Abitur (D)→A, CH: Matura",Meine Tochter hat gerade Abitur gemacht.
"ablehnen, lehnt ab, lehnte ab, hat abgelehnt","Er hat mein Angebot, ihm zu helfen, abgelehnt."
"abmachen, macht ab, machte ab, hat abgemacht","Wir hatten doch abgemacht, dass du die Getränke besorgst."
"abnehmen, nimmt ab, nahm ab, hat abgenommen",1. Morgen können wir den Verband abnehmen. 2. Ich habe zehn Kilo abgenommen.
"abonnieren, abonniert, abonnierte, hat abonniert",Diese Zeitschrift würde ich gerne abonnieren.
"das Abonnement, -s/-e",Ich habe das Abonnement gekündigt.
"absagen, sagt ab, sagte ab, hat abgesagt","Ich muss unser Treffen leider absagen, weil ich krank geworden bin."
"der Abschluss, ¨-e",Ein guter Schulabschluss ist sehr wichtig.
"der Abschnitt, -e",Lesen Sie bitte den zweiten Abschnitt.
"der Absender, die Absenderin, -nen",Schicken Sie das Paket an den Absender zurück.
"die Absicht, -en",1. Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht. 2. Hast du die Absicht zu studieren?
absolut,"1. Was Sie da sagen, ist absolut falsch. 2. Ich habe absolutes Vertrauen zu dir."
"abstimmen, stimmt ab, stimmte ab, hat abgestimmt",Lasst uns über diesen Punkt abstimmen.
"die Abteilung, -en",Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.
"der Abwart, -e die Abwartin, -nen (CH) → D, A: Hausmeister","Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen."
abwärts,Von dort führt der Weg abwärts ins Tal.
"abwaschen, wäscht ab, wusch ab, hat abgewaschen",Ich muss noch das Geschirr abwaschen.
abwesend,Herr Huber ist bis zum 25. April abwesend.
"achten, achtet, achtete, hat geachtet (auf)","Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen."
Achtung!,"Achtung, hier endet die Straße!"
"die Adresse, -n",Hast du schon meine neue Adresse?
ähnlich,1. Emilia ist in einer ganz ähnlichen Situation wie ich. 2. Oleg sieht seinem Bruder sehr ähnlich.
"die Ahnung, -en","Ich hatte keine Ahnung, dass du heute Geburtstag hast."
"die Aktion, -en",Die Stadt sollte eine Aktion für Familien planen.
aktiv,Ich bin sehr aktiv und mache viel Sport.
"die Aktivität, -en",In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.
aktuell,Umweltschutz ist ein aktuelles Thema.
"akzeptieren, akzeptiert, akzeptierte, hat akzeptiert",Ich kann diese Bedingungen nicht akzeptieren.
"der Alarm, -e",Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.
"der Alkohol, -e","1. Du musst die Wunde mit Alkohol reinigen. 2. Nein, danke! Ich trinke keinen Alkohol."
all-,"1. Sind alle Kinder da? 2. Sonst noch (et)was? – Nein, danke. Das ist alles. 3. Alles Gute!"
allein,"1. Ich gehe nicht gern allein spazieren. 2. Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein. 3. Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet."
aller-,"1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund. 2. Das ist das Allerschönste, was ich je gesehen habe."
allerdings,"Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit."
allgemein,"1. Wir haben nur über allgemeine Probleme gesprochen. 2. Es ist allgemein bekannt, dass man hier gut essen kann. 3. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden."
der Alltag,"Das ist mein Alltag: putzen, waschen, kochen."
alltäglich,1. Das alltägliche Leben ist manchmal langweilig. 2. Der Roman erzählt eine ganz alltägliche Geschichte.
"das Alphabet, -e",Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?
als,"1. Als mein Mann kam, war die Party schon zu Ende. 2. Sie können sich sowohl persönlich als auch im Internet anmelden. 3. Meine Schwester ist älter als ich. 4. Es ist später, als ich dachte."
als ob,"Er tut so, als ob wir nie darüber gesprochen hätten."
also,"1. Also, die Sache ist so: … 2. Irina hat Urlaub. Sie kann uns also helfen. 3. Also wirklich, jetzt reicht es."
alt,1. Wie alt sind Sie? 2. Maria ist eine alte Freundin von mir.
"das Alter, -",1. Wir sind etwa im gleichen Alter. 2. Alter: 26 Jahre
"das Altenheim, -e → Altersheim",Die Großeltern unserer Nachbarn sind im Altenheim.
"das Altersheim, -e → Altenheim",Die Großeltern unserer Nachbarn sind im Altersheim.
alternativ,Wir brauchen alternative Energien.
"die Alternative, -n",Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.
"die Ampel, -n",Dort an der Ampel kannst du über die Straße gehen.
"das Amt, ¨-er",Das Arbeitsamt befindet sich neben dem Busbahnhof.
"sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert",Bei dem Fest haben wir uns sehr gut amüsiert.
an,"1. Am Anfang war alles sehr schwierig. 2. Dann sehen wir uns also am Dienstag. 3. Ich warte am Bahnhof auf dich. 4. Am besten, du gehst zur Information und fragst da. 5. Das Licht war die ganze Nacht an."
